"Tiempo (s) Serie Nº 1";"Ángulo (rad) Serie Nº 1";"Posición (m) Serie Nº 1";"Vector velocidad (m/s) Serie Nº 1"
0,000;0,000;0,0000;
0,050;0,000;0,0000;0,000
0,100;0,000;0,0000;0,000
0,150;0,000;0,0000;0,000
0,200;0,000;0,0000;0,000
0,250;0,000;0,0000;0,000
0,300;0,000;0,0000;0,000
0,350;0,000;0,0000;0,000
0,400;0,000;0,0000;0,000
0,450;0,000;0,0000;0,000
0,500;0,000;0,0000;0,000
0,550;0,000;0,0000;0,000
0,600;0,000;0,0000;0,000
0,650;0,000;0,0000;0,000
0,700;0,000;0,0000;0,000
0,750;0,000;0,0000;0,002
0,800;0,000;0,0000;0,011
0,850;0,030;7,1250E-4;0,023
0,900;0,108;0,0026;0,031
0,950;0,182;0,0043;0,030
1,000;0,236;0,0056;0,023
1,050;0,275;0,0066;0,016
1,100;0,305;0,0073;0,008
1,150;0,311;0,0074;-0,001
1,200;0,297;0,0071;-0,010
1,250;0,267;0,0064;-0,018
1,300;0,221;0,0053;-0,025
1,350;0,162;0,0039;-0,030
1,400;0,093;0,0022;-0,028
1,450;0,017;4,1250E-4;-0,017
1,500;0,016;3,7500E-4;-0,002
1,550;0,031;7,5000E-4;0,006
1,600;0,049;0,0012;0,007
1,650;0,063;0,0015;0,006
1,700;0,072;0,0017;0,003
1,750;0,077;0,0018;0,002
1,800;0,079;0,0019;-3,750E-4
1,850;0,075;0,0018;-0,002
1,900;0,069;0,0017;-0,004
1,950;0,058;0,0014;-0,006
2,000;0,044;0,0011;-0,007
2,050;0,028;6,7500E-4;-0,007
2,100;0,011;2,6250E-4;-0,003
2,150;0,009;2,2500E-4;5,000E-4
2,200;0,019;4,5000E-4;0,003
2,250;0,027;6,3750E-4;0,003
2,300;0,033;7,8750E-4;0,003
2,350;0,038;9,0000E-4;0,002
2,400;0,041;9,7500E-4;0,001
2,450;0,042;0,0010;
